id_bien;id_commune;type_local;surface_carrez;surface_reelle;nombre_pieces
0;01350;Appartement;50,42;52;2
1;01103;Appartement;48,22;48;3
2;01143;Appartement;130,8;130;6
3;01288;Maison;109,22;109;5
4;01033;Appartement;108,65;91;4
5;01138;Appartement;31,65;32;2
6;01354;Appartement;52,58;52;2
7;01354;Appartement;58,71;60;2
8;01143;Maison;93,23;96;4
9;01354;Maison;117;117;5
10;01288;Appartement;35,6;36;2
11;01283;Appartement;138,03;137;5
12;01357;Appartement;42;43;2
13;01173;Appartement;45,36;45;2
14;01033;Appartement;82,6;84;4
15;01143;Appartement;88,11;88;4
16;01004;Appartement;164,87;143;6
17;01071;Appartement;42,2;42;2
18;01396;Appartement;68,11;65;3
19;01160;Appartement;82,59;75;3
20;01103;Appartement;30,23;30;1
21;01399;Appartement;24,8;25;1
22;01202;Appartement;52,6;52;2
23;01204;Appartement;91,69;88;3
24;01173;Appartement;45,54;45;1
25;01354;Appartement;84,24;83;3
26;01004;Appartement;68,23;68;3
27;01034;Appartement;62,03;64;3
28;01281;Maison;112,93;109;4
29;01354;Appartement;131,91;133;4
30;01160;Appartement;63,58;63;3
31;01138;Appartement;35,86;50;3
32;01202;Appartement;70,09;74;3
33;01148;Appartement;200;121;4
34;01004;Appartement;54,84;62;2
35;01034;Appartement;72,75;73;4
36;01202;Maison;94,09;88;2
37;01160;Appartement;71,08;71;3
38;01160;Maison;97,03;101;4
39;01313;Appartement;44,48;45;2
40;01060;Appartement;64,21;63;2
41;01004;Maison;70,1;68;3
42;01363;Appartement;76,7;90;4
43;01160;Appartement;133,77;120;4
44;01269;Appartement;107,61;106;5
45;01345;Appartement;42,78;43;2
46;01419;Maison;124,55;120;5
47;01283;Appartement;68,11;67;2
48;01031;Appartement;70,78;68;3
49;01354;Appartement;112,3;112;5
50;01313;Maison;95,43;95;4
51;01160;Appartement;63,45;63;3
52;01185;Appartement;77,3;75;4
53;01173;Maison;164,18;160;6
54;01160;Appartement;66,95;67;3
55;01354;Appartement;30,62;31;1
56;01354;Appartement;165,92;166;5
57;01210;Appartement;51,99;56;2
58;01034;Appartement;63,17;63;3
59;01399;Appartement;84,97;88;3
60;01173;Appartement;88,7;87;4
61;01004;Appartement;50,64;51;2
62;01033;Appartement;38;39;1
63;01281;Appartement;70,53;71;3
64;01071;Maison;105,68;143;6
65;01173;Appartement;46,12;53;3
66;01202;Appartement;37,63;39;2
67;01313;Appartement;87,38;89;4
68;01173;Appartement;50,33;50;2
69;01436;Appartement;134,17;136;4
70;01033;Appartement;47,65;62;3
71;01419;Maison;99,13;102;4
72;01419;Appartement;43,42;43;2
73;01192;Maison;83,6;83;4
74;01004;Appartement;54,65;55;2
75;01004;Appartement;81,15;81;3
76;01354;Appartement;53,43;56;3
77;01160;Appartement;74,85;75;3
78;01153;Maison;99,39;86;4
79;01103;Maison;123,16;118;5
80;01313;Maison;110,13;110;5
81;01313;Appartement;71,43;70;3
