id_commune;code_region;code_departement;nom_commune
70088;27;70;Bourguignon-lès-la-Charité
70095;27;70;Breurey-lès-Faverney
70101;27;70;Broye-Aubigney-Montseugny
70111;27;70;Calmoutier
70116;27;70;Chagey
70122;27;70;Champlitte
70124;27;70;Champtonnay
70128;27;70;La Chapelle-lès-Luxeuil
70131;27;70;Charentenay
70135;27;70;Charmes-Saint-Valbert
70137;27;70;Chassey-lès-Montbozon
70140;27;70;Châteney
70144;27;70;Chauvirey-le-Vieil
70145;27;70;Chaux-la-Lotière
70146;27;70;Chaux-lès-Port
70154;27;70;Cirey
70159;27;70;Cognières
70160;27;70;Coisevaux
70166;27;70;Comberjon
70167;27;70;Conflandey
70168;27;70;Conflans-sur-Lanterne
70170;27;70;Contréglise
70186;27;70;La Creuse
70194;27;70;Cuve
70196;27;70;Dampierre-lès-Conflans
70203;27;70;La Demie
70204;27;70;Denèvre
70207;27;70;Echenoz-la-Méline
70236;27;70;Fleurey-lès-Faverney
70237;27;70;Fleurey-lès-Lavoncourt
70239;27;70;Fondremand
70241;27;70;Les Fontenis
70246;27;70;Fouvent-le-Bas
70247;27;70;Fouvent-Saint-Andoche
70251;27;70;Francourt
70255;27;70;Fresne-Saint-Mamès
70256;27;70;Fresse
70257;27;70;Fretigney-et-Velloreille
70261;27;70;Frotey-lès-Vesoul
70264;27;70;Georfans
70267;27;70;Gevigney-et-Mercey
70273;27;70;Grammont
70274;27;70;Grandecourt
70277;27;70;Granges-le-Bourg
70278;27;70;Grattery
70283;27;70;Haut-du-Them-Château-Lambert
70287;27;70;Hurecourt
70290;27;70;Jasney
70294;27;70;Lantenot
70304;27;70;Linexert
70310;27;70;Lure
70319;27;70;Magny-Jobert
70325;27;70;Maizières
70330;27;70;Mandrevillars
70334;27;70;Marnay
70342;27;70;Mercey-sur-Saône
70352;27;70;La Montagne
70354;27;70;Montarlot-lès-Champlitte
70359;27;70;Montcourt
70363;27;70;Montigny-lès-Vesoul
70374;27;70;Motey-Besuche
70384;27;70;Neuvelle-lès-la-Charité
70387;27;70;Noidans-le-Ferroux
