id_commune;code_region;population_municipale;population_comptee_a_part
01001;84;779;19
01002;84;256;1
01004;84;14134;380
01005;84;1751;25
01006;84;112;6
01007;84;2800;115
01008;84;762;15
01009;84;326;9
01010;84;1105;17
01011;84;368;11
01012;84;329;4
01013;84;143;4
01014;84;3349;93
01015;84;650;17
01016;84;460;9
01017;84;457;16
01019;84;27;4
01021;84;1457;28
01022;84;1249;18
01023;84;76;0
01024;84;3251;65
01025;84;4065;106
01026;84;973;68
01027;84;2563;52
01028;84;617;17
01029;84;685;8
01030;84;829;15
01031;84;3652;234
01032;84;3376;29
01033;84;16378;350
01034;84;9182;400
01035;84;310;8
01036;84;1326;19
01037;84;308;4
01038;84;754;21
01039;84;443;8
01040;84;486;10
01041;84;748;21
01042;84;291;14
01043;84;4754;113
01044;84;632;16
01045;84;283;4
01046;84;895;8
01047;84;1182;32
01049;84;3283;73
01050;84;365;4
01051;84;91;1
01052;84;328;6
01053;84;41111;1742
01054;84;1457;32
01056;84;349;5
01057;84;519;16
01058;84;828;21
01060;84;493;21
01061;84;1144;35
01062;84;934;22
01063;84;533;7
01064;84;1070;20
01065;84;1812;64
01066;84;89;1
01067;84;255;13
01068;84;775;15
01069;84;1503;39
01071;84;4808;117
01072;84;3194;62
01073;84;1000;25
01074;84;2589;35
01075;84;1382;31
01076;84;125;3
01077;84;196;3
01078;84;1557;33
01079;84;811;31
01080;84;643;14
01081;84;735;21
01082;84;628;14
01083;84;927;17
01084;84;895;18
01085;84;400;5
01087;84;282;10
01088;84;903;27
01089;84;2253;50
01090;84;356;6
01092;84;1604;58
01093;84;4931;203
01094;84;761;12
01095;84;853;12
01096;84;1034;30
01098;84;1159;36
01099;84;1566;57
01100;84;131;4
01101;84;152;7
01102;84;961;15
01103;84;2149;47
01104;84;461;10
01105;84;1829;53
01106;84;179;7
01107;84;133;4
01108;84;1176;24
01109;84;2226;46
01110;84;156;2
01111;84;132;1
01112;84;450;12
01113;84;817;12
01114;84;667;12
01115;84;1333;30
01116;84;498;12
01117;84;151;2
01118;84;1278;32
01121;84;116;1
01123;84;1162;35
01124;84;689;8
01125;84;612;13
01127;84;508;8
01128;84;305;1
01129;84;291;6
01130;84;2363;44
01133;84;394;6
01134;84;1758;45
01135;84;2171;64
01136;84;893;20
01138;84;3004;64
01139;84;444;5
01140;84;767;19
01141;84;453;15
01142;84;4777;57
01143;84;9951;239
01145;84;1179;22
01146;84;436;3
01147;84;492;3
01148;84;1879;46
01149;84;1076;28
01150;84;214;5
01151;84;1146;27
01152;84;748;20
01153;84;2115;74
01155;84;143;4
01156;84;815;12
01157;84;2250;42
01158;84;1048;17
01159;84;3365;71
01160;84;10026;163
01162;84;65;3
01163;84;2038;35
01165;84;1594;33
01166;84;2423;61
01167;84;634;24
01169;84;641;22
01170;84;1053;28
01171;84;844;42
01173;84;13121;270
01174;84;178;2
01175;84;784;23
01177;84;183;6
01179;84;1881;52
01180;84;839;21
01181;84;1241;50
01183;84;1479;29
01184;84;763;26
01185;84;4844;176
01187;84;618;21
01188;84;663;20
01189;84;1115;26
01190;84;87;3
01191;84;154;4
01192;84;2277;61
01193;84;222;7
01194;84;6346;93
01195;84;1783;54
01196;84;1226;13
01197;84;351;13
01198;84;268;3
01199;84;2137;46
01200;84;214;5
01202;84;7161;147
01203;84;1313;42
01204;84;735;15
01206;84;277;6
01207;84;317;12
01208;84;131;4
01209;84;778;16
01210;84;228;4
01211;84;1395;35
01212;84;718;9
01213;84;1341;29
01214;84;158;6
01215;84;140;3
01216;84;894;21
01219;84;164;3
01224;84;3225;31
01225;84;372;8
01227;84;643;14
01228;84;660;14
01229;84;1235;24
01230;84;312;7
01231;84;1948;48
01232;84;2276;47
01233;84;130;3
01234;84;169;3
01235;84;1159;87
01236;84;1011;29
01237;84;1667;65
01238;84;2670;56
01239;84;620;14
01240;84;627;16
01241;84;1356;34
01242;84;135;2
01243;84;1253;35
01244;84;7923;139
01245;84;943;21
01246;84;2217;36
01247;84;312;14
01248;84;2197;54
01249;84;10122;151
01250;84;1974;252
01252;84;786;22
01254;84;2116;51
01255;84;647;12
01257;84;351;10
01258;84;1190;32
01259;84;702;16
01260;84;302;5
01261;84;668;23
01262;84;6886;83
01263;84;3772;87
01264;84;1016;20
01265;84;3456;71
01266;84;2576;42
01267;84;1025;23
01268;84;246;3
01269;84;3454;135
01272;84;1500;20
01273;84;1800;27
01274;84;645;15
01275;84;2569;50
01276;84;1624;27
01277;84;117;2
01279;84;80;6
01280;84;138;1
01281;84;4483;170
01282;84;258;6
01283;84;22456;479
01284;84;694;13
01285;84;1229;30
01286;84;951;38
01288;84;2717;55
01289;84;6520;291
01290;84;1273;32
01291;84;842;7
01293;84;148;4
01294;84;886;16
01295;84;686;13
01296;84;420;8
01297;84;867;15
01298;84;150;2
01299;84;584;8
01301;84;2547;61
01302;84;163;5
01303;84;1699;36
01304;84;2924;53
01305;84;2213;43
01306;84;1641;64
01307;84;836;21
01308;84;807;14
01309;84;85;0
01310;84;251;4
01311;84;44;0
01313;84;8711;239
01314;84;1729;33
01317;84;330;6
01318;84;726;17
01319;84;466;9
01320;84;3791;91
01321;84;888;29
01322;84;4984;140
01323;84;989;14
01325;84;1032;18
01328;84;597;4
01329;84;153;6
01330;84;182;6
01331;84;187;0
01332;84;779;23
01333;84;3369;59
01334;84;658;9
01335;84;402;6
01336;84;1174;22
01337;84;1311;27
01338;84;1227;37
01339;84;1463;43
01342;84;554;11
01343;84;1793;41
01344;84;5943;166
01345;84;2266;34
01346;84;858;19
01347;84;2035;63
01348;84;2938;65
01349;84;503;5
01350;84;2542;40
01351;84;1571;26
01352;84;583;6
01353;84;1700;28
01354;84;13943;200
01355;84;486;7
01356;84;208;5
01357;84;502;7
01358;84;429;3
01359;84;246;3
01360;84;1895;48
01361;84;1577;48
01362;84;786;15
01363;84;1772;70
01364;84;756;7
01365;84;1162;20
01366;84;1082;18
01367;84;746;4
01368;84;838;15
01369;84;942;25
01370;84;1688;28
01371;84;1242;29
01372;84;444;5
01373;84;1023;30
01374;84;1871;45
01375;84;782;20
01376;84;3962;39
01378;84;2645;54
01379;84;760;11
01380;84;632;13
01381;84;921;18
01382;84;279;2
01383;84;1562;21
01384;84;2188;33
01385;84;985;23
01386;84;1127;66
01387;84;256;3
01388;84;1102;9
01389;84;1834;43
01390;84;1246;21
01391;84;271;8
01392;84;656;27
01393;84;544;5
01396;84;977;13
01397;84;978;19
01398;84;1421;17
01399;84;2107;51
01400;84;139;3
01401;84;2167;71
01402;84;652;20
01403;84;1295;41
01404;84;135;2
01405;84;1280;29
01406;84;174;1
01407;84;1002;18
01408;84;661;12
01410;84;300;7
01411;84;273;6
01412;84;595;12
01415;84;499;6
01416;84;1014;11
01418;84;1087;27
01419;84;6021;176
01420;84;1690;8
01421;84;729;16
01422;84;1355;36
01423;84;1124;21
01424;84;1776;43
01425;84;288;7
01426;84;2538;59
01427;84;6920;164
01428;84;126;1
01429;84;707;13
01430;84;619;12
01431;84;1227;30
01432;84;323;2
01433;84;313;4
01434;84;472;10
01435;84;2157;69
01436;84;481;11
01437;84;223;5
01439;84;99;4
01441;84;734;18
01443;84;4978;95
01444;84;1196;17
01445;84;615;21
01446;84;1548;37
01447;84;1342;32
01448;84;389;8
01449;84;759;14
01450;84;3717;67
01451;84;6595;150
01452;84;1132;24
01453;84;710;23
01454;84;1112;21
01456;84;71;2
01457;84;3181;59
02001;32;502;11
02002;32;610;8
02003;32;1021;24
02004;32;182;5
02005;32;380;8
02006;32;262;9
02007;32;122;1
02008;32;294;4
02009;32;534;6
02010;32;173;4
02011;32;1138;54
02012;32;71;0
02013;32;386;9
02014;32;729;23
02015;32;72;1
02016;32;216;9
02017;32;323;4
02018;32;2574;53
02019;32;362;5
02020;32;455;8
02021;32;84;3
02022;32;403;6
02023;32;102;3
02024;32;51;0
02025;32;367;2
02027;32;214;7
02028;32;2606;60
02029;32;354;12
02030;32;257;4
02031;32;661;6
02032;32;253;4
02033;32;104;2
02034;32;121;4
02035;32;280;9
02036;32;72;1
02037;32;1386;30
02038;32;59;0
02039;32;173;3
02040;32;180;3
02041;32;807;15
02042;32;384;2
02043;32;65;1
02044;32;25;0
02046;32;557;9
02047;32;108;5
02048;32;133;4
02049;32;739;13
02050;32;323;2
02051;32;391;6
02052;32;135;6
02053;32;571;6
02054;32;461;4
02055;32;88;2
02056;32;179;1
02057;32;1406;18
02058;32;856;10
02059;32;2714;28
02060;32;257;7
02061;32;246;7
02062;32;137;4
02063;32;378;8
02064;32;3832;53
02065;32;600;13
02066;32;196;2
02067;32;210;5
02068;32;88;4
02069;32;105;2
02070;32;445;12
02071;32;658;15
02072;32;186;2
02073;32;670;4
02074;32;593;10
02075;32;195;2
02076;32;152;3
02077;32;379;9
02078;32;163;3
02079;32;149;0
02080;32;333;9
02081;32;434;8
02082;32;110;0
02083;32;750;15
02084;32;257;5
02085;32;1015;25
02086;32;1006;11
02087;32;34;1
02088;32;92;3
02089;32;1148;21
02090;32;207;10
02091;32;95;1
02093;32;1298;59
02094;32;464;9
02095;32;5686;78
02096;32;197;3
02097;32;256;2
02098;32;379;14
02099;32;221;5
02100;32;138;0
02101;32;192;5
02102;32;191;6
02103;32;1339;16
02104;32;99;4
02105;32;196;2
02106;32;810;12
02107;32;107;4
02108;32;159;4
02109;32;475;10
02110;32;2235;25
02111;32;721;11
02112;32;553;13
02114;32;1563;37
02115;32;190;6
02116;32;147;1
02117;32;68;0
02118;32;129;2
02119;32;327;6
02120;32;196;6
02121;32;240;4
02122;32;54;1
02123;32;301;5
02124;32;651;10
02125;32;193;11
02126;32;455;5
02127;32;192;5
02128;32;1475;47
02129;32;18;0
02130;32;194;7
02131;32;1861;42
02132;32;194;3
02133;32;404;9
02134;32;862;18
02135;32;1157;17
02136;32;128;3
02137;32;160;0
02138;32;200;3
02139;32;442;5
02140;32;456;7
02141;32;1778;79
02142;32;253;5
02143;32;185;6
02144;32;144;3
02145;32;545;10
02146;32;94;1
02148;32;255;2
02149;32;62;2
02150;32;63;0
02151;32;116;3
02152;32;89;0
02153;32;764;20
02154;32;365;7
02155;32;166;5
02156;32;257;1
02157;32;836;23
02158;32;273;2
02159;32;295;2
02160;32;544;12
02162;32;291;8
02163;32;2585;42
02164;32;325;7
02165;32;1654;26
02166;32;356;9
02167;32;890;14
02168;32;15254;362
02169;32;84;0
02170;32;125;0
02171;32;88;1
02172;32;252;9
02173;32;11653;419
02174;32;829;16
02175;32;161;4
02176;32;206;3
02177;32;139;2
02178;32;106;2
02179;32;385;8
02180;32;721;14
02181;32;79;1
02182;32;117;3
02183;32;185;1
02184;32;351;5
02185;32;390;15
02186;32;1351;45
02187;32;1134;15
02188;32;147;4
02189;32;350;8
02190;32;518;12
02191;32;523;5
02192;32;371;7
02193;32;65;1
02194;32;186;8
02195;32;910;25
02196;32;311;7
02197;32;535;102
02198;32;228;2
02199;32;601;8
02200;32;106;1
02201;32;441;6
02203;32;1282;20
02204;32;65;2
02205;32;229;3
02206;32;76;3
02207;32;216;3
02208;32;267;6
02209;32;708;11
02210;32;364;6
02211;32;294;3
02212;32;708;11
02213;32;343;2
02214;32;61;1
02215;32;841;6
02216;32;294;4
02217;32;992;9
02218;32;628;12
02219;32;200;72
02220;32;436;15
02221;32;152;4
02222;32;32;0
02223;32;301;12
02224;32;346;4
02225;32;84;2
02226;32;1863;30
02227;32;120;1
02228;32;339;6
02229;32;71;0
02230;32;186;6
02231;32;941;9
02232;32;362;10
02233;32;145;8
02234;32;83;1
02235;32;115;3
02236;32;330;3
02237;32;1502;16
02238;32;1816;31
02239;32;1244;85
02240;32;218;3
02241;32;96;3
02242;32;641;11
02243;32;2923;47
02244;32;63;3
02245;32;1805;35
02246;32;611;4
02248;32;156;3
02249;32;100;0
02250;32;73;4
02251;32;27;1
02252;32;71;2
02253;32;358;3
02254;32;129;5
02255;32;153;2
02256;32;129;3
02257;32;437;13
02258;32;370;13
02259;32;392;15
02260;32;650;11
