"uai","code_departement","code_academie","libelle_academie","code_commune","nom_commune","restauration","hebergement","ulis","apprentissage","segpa","section_arts","section_cinema","section_theatre","section_sport","section_internationale","section_europeenne","lycee_agricole","lycee_militaire","lycee_des_metiers","post_bac"
"0010001W","01","10","Lyon","01004","Ambérieu-en-Bugey","1,0","1,0","1,0","1,0","0,0","0,0","0,0","0,0","1,0","0,0","1,0","0,0","0,0","1,0","1,0"
"0010006B","01","10","Lyon","01033","Valserhône","1,0","1,0","0,0","1,0","0,0","1,0","0,0","0,0","0,0","0,0","1,0","0,0","0,0","1,0","1,0"
"0010010F","01","10","Lyon","01034","Belley","1,0","1,0","0,0","0,0","0,0","1,0","0,0","0,0","1,0","0,0","1,0","0,0","0,0","0,0","0,0"
"0010013J","01","10","Lyon","01053","Bourg-en-Bresse","1,0","1,0","0,0","0,0","0,0","1,0","1,0","1,0","0,0","0,0","1,0","0,0","0,0","0,0","1,0"
"0010014K","01","10","Lyon","01053","Bourg-en-Bresse","1,0","1,0","0,0","1,0","0,0","1,0","1,0","1,0","0,0","0,0","1,0","0,0","0,0","0,0","1,0"
"0010016M","01","10","Lyon","01053","Bourg-en-Bresse","1,0","1,0","0,0","1,0","0,0","1,0","1,0","1,0","1,0","0,0","1,0","0,0","0,0","0,0","1,0"
"0010017N","01","10","Lyon","01053","Bourg-en-Bresse","1,0","1,0","1,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"0010020S","01","10","Lyon","01093","Châtillon-sur-Chalaronne","1,0","1,0","1,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0","0,0"
"0010021T","01","10","Lyon","01053","Bourg-en-Bresse","1,0","1,0","1,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0","0,0"
"0010032E","01","10","Lyon","01269","Nantua","1,0","1,0","0,0","0,0","0,0","0,0","0,0","1,0","1,0","0,0","1,0","0,0","0,0","0,0","0,0"
"0010034G","01","10","Lyon","01283","Oyonnax","1,0","1,0","1,0","1,0","0,0","1,0","0,0","1,0","1,0","0,0","1,0","0,0","0,0","0,0","1,0"
"0010059J","01","10","Lyon","01250","Misérieux","1,0","1,0","0,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0","1,0","0,0","0,0","1,0"
"0010069V","01","10","Lyon","01034","Belley","1,0","1,0","0,0","0,0","0,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"0010070W","01","10","Lyon","01053","Bourg-en-Bresse","1,0","1,0","0,0","1,0","0,0","1,0","0,0","0,0","0,0","0,0","1,0","0,0","0,0","0,0","1,0"
"0010072Y","01","10","Lyon","01160","Ferney-Voltaire","1,0","1,0","0,0","1,0","0,0","1,0","0,0","1,0","0,0","1,0","1,0","0,0","0,0","0,0","1,0"
"0010075B","01","10","Lyon","01249","Miribel","1,0","0,0","0,0","0,0","0,0","1,0","0,0","0,0","0,0","0,0","1,0","0,0","0,0","0,0","0,0"
"0010099C","01","10","Lyon","01053","Bourg-en-Bresse","1,0","1,0","1,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0","1,0"
"0010814E","01","10","Lyon","01249","Miribel","1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"0010819K","01","10","Lyon","01053","Bourg-en-Bresse","0,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0","0,0","1,0","1,0","0,0","0,0","1,0"
"0010878Z","01","10","Lyon","01071","Cessy","1,0","0,0","0,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0","0,0","0,0","0,0","0,0"
"0011010T","01","10","Lyon","01034","Belley","1,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0","0,0","0,0","0,0","0,0"
"0011056T","01","10","Lyon","01443","Villars-les-Dombes","1,0","1,0","0,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0","0,0","0,0","0,0"
"0011057U","01","10","Lyon","01269","Nantua","1,0","1,0","0,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0","1,0","0,0","0,0","0,0"
"0011058V","01","10","Lyon","01386","Saint-Sorlin-en-Bugey","1,0","1,0","0,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0","0,0","0,0","1,0"
"0011118K","01","10","Lyon","01053","Bourg-en-Bresse","1,0","1,0","1,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0","0,0","0,0","1,0","1,0"
"0011119L","01","10","Lyon","01031","Bellignat","1,0","1,0","1,0","1,0","0,0","1,0","0,0","1,0","1,0","0,0","0,0","0,0","0,0","1,0","1,0"
"0011194T","01","10","Lyon","01004","Ambérieu-en-Bugey","1,0","1,0","0,0","0,0","0,0","1,0","1,0","0,0","1,0","0,0","1,0","0,0","0,0","0,0","1,0"
"0011256K","01","10","Lyon","01053","Bourg-en-Bresse","0,0","0,0","0,0","0,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"0011258M","01","10","Lyon","01034","Belley","1,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"0011276G","01","10","Lyon","01427","Trévoux","1,0","0,0","0,0","1,0","0,0","1,0","1,0","0,0","0,0","0,0","1,0","0,0","0,0","0,0","1,0"
"0011280L","01","10","Lyon","01269","Nantua","1,0","1,0","1,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"0011281M","01","10","Lyon","01283","Oyonnax","1,0","1,0","1,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0","0,0","0,0","0,0","1,0"
"0011294B","01","10","Lyon","01185","Plateau d'Hauteville","0,0","1,0","0,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"0011326L","01","10","Lyon","01049","La Boisse","1,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0","0,0","0,0","1,0","0,0","0,0","0,0","0,0"
