"annee","rentree","uai","secteur","type_de_lycee","ips_voie_gt","ips_voie_pro","ips_ensemble_gt_pro","ecart_type_ips_voie_gt","ecart_type_ips_voie_pro"
"2019","2018","0771995A","Public","Lycée professionnel","","87,4","87,4","",""
"2019","2018","0772127U","Public","Lycée général et technologique","115,6","","115,6","",""
"2019","2018","0772151V","Privé","Lycée professionnel","","114,2","114,2","",""
"2019","2018","0772188K","Public","Lycée général et technologique","99,4","","99,4","",""
"2019","2018","0772292Y","Public","Lycée général et technologique","121,3","","121,3","",""
"2019","2018","0772295B","Public","Lycée polyvalent","117,2","95,7","113,0","",""
"2019","2018","0772342C","Public","Lycée polyvalent","120,4","89,9","108,4","",""
"2019","2018","0772602K","Privé","Lycée général et technologique","134,4","","134,4","",""
"2019","2018","0772685A","Public","Lycée général et technologique","106,3","","106,3","",""
"2019","2018","0772688D","Public","Lycée polyvalent","126,0","99,1","123,3","",""
"2019","2018","0772737G","Public","Lycée général et technologique","94,1","","94,1","",""
"2019","2018","0780273Y","Public","Lycée professionnel","","88,8","88,8","",""
"2019","2018","0780584L","Public","Lycée professionnel","","81,9","81,9","",""
"2019","2018","0781512V","Public","Lycée général et technologique","140,9","","140,9","",""
"2019","2018","0781883Y","Public","Lycée polyvalent","110,2","89,8","105,6","",""
"2019","2018","0781951X","Public","Lycée polyvalent","110,1","90,9","105,6","",""
"2019","2018","0782132U","Public","Lycée général et technologique","139,8","","139,8","",""
"2019","2018","0782587N","Public","Lycée polyvalent","136,2","104,6","124,0","",""
"2019","2018","0782822U","Public","Lycée polyvalent","136,9","93,0","128,9","",""
"2019","2018","0783286Y","Privé","Lycée général et technologique","150,7","","150,7","",""
"2019","2018","0783323N","Privé","Lycée général et technologique","139,2","","139,2","",""
"2019","2018","0783330W","Privé","Lycée professionnel","","89,8","89,8","",""
"2019","2018","0783350T","Privé","Lycée général et technologique","150,6","","150,6","",""
"2019","2018","0790024X","Public","Lycée général et technologique","120,5","","120,5","",""
"2019","2018","0790031E","Public","Lycée polyvalent","112,1","84,9","104,7","",""
"2019","2018","0790036K","Public","Lycée général et technologique","106,7","","106,7","",""
"2019","2018","0800011C","Public","Lycée général et technologique","93,7","","93,7","",""
"2019","2018","0800062H","Public","Lycée professionnel","","72,4","72,4","",""
"2019","2018","0800063J","Public","Lycée professionnel","","77,0","77,0","",""
"2019","2018","0801194N","Public","Lycée professionnel","","73,0","73,0","",""
"2019","2018","0801743K","Privé","Lycée général et technologique","119,3","","119,3","",""
"2019","2018","0801882L","Public","Lycée polyvalent","92,8","73,7","88,8","",""
"2019","2018","0801900F","Public","Lycée général et technologique","97,0","","97,0","",""
"2019","2018","0810012Y","Public","Lycée polyvalent","104,4","87,8","97,4","",""
"2019","2018","0810075S","Privé","Lycée général et technologique","113,4","","113,4","",""
"2019","2018","0810079W","Privé","Lycée général et technologique","105,3","","105,3","",""
"2019","2018","0810103X","Privé","Lycée général et technologique","102,5","","102,5","",""
"2019","2018","0820551D","Privé","Lycée professionnel","","74,0","74,0","",""
"2019","2018","0820883P","Public","Lycée polyvalent","108,0","94,4","105,1","",""
"2019","2018","0830007G","Public","Lycée polyvalent","110,5","90,4","106,8","",""
"2019","2018","0830032J","Public","Lycée polyvalent","108,3","99,4","107,6","",""
"2019","2018","0830059N","Public","Lycée polyvalent","92,0","78,7","80,0","",""
"2019","2018","0830114Y","Privé","Lycée professionnel","","97,4","97,4","",""
"2019","2018","0830128N","Privé","Lycée professionnel","","97,4","97,4","",""
"2019","2018","0831243A","Public","Lycée général et technologique","98,7","","98,7","",""
"2019","2018","0840001V","Public","Lycée polyvalent","109,9","84,6","103,1","",""
"2019","2018","0840003X","Public","Lycée général et technologique","106,1","","106,1","",""
"2019","2018","0840026X","Public","Lycée général et technologique","106,9","","106,9","",""
"2019","2018","0840075A","Privé","Lycée général et technologique","124,1","","124,1","",""
"2019","2018","0840078D","Privé","Lycée général et technologique","121,8","","121,8","",""
"2019","2018","0840113S","Public","Lycée professionnel","","78,4","78,4","",""
"2019","2018","0840918S","Public","Lycée polyvalent","123,4","90,1","121,2","",""
"2019","2018","0850043K","Public","Lycée professionnel","","81,7","81,7","",""
"2019","2018","0850068M","Public","Lycée polyvalent","108,6","85,7","102,5","",""
"2019","2018","0850133H","Privé","Lycée polyvalent","115,4","99,1","110,5","",""
"2019","2018","0851643Z","Privé","Lycée professionnel","","97,3","97,3","",""
"2019","2018","0860003L","Public","Lycée général et technologique","114,8","","114,8","",""
"2019","2018","0860021F","Public","Lycée général et technologique","102,5","","102,5","",""
"2019","2018","0860789R","Privé","Lycée professionnel","","89,9","89,9","",""
"2019","2018","0861228T","Public","Lycée général et technologique","123,3","","123,3","",""
"2019","2018","0861408N","Public","Lycée polyvalent","112,6","92,4","99,0","",""
"2019","2018","0870017W","Public","Lycée général et technologique","114,7","","114,7","",""
"2019","2018","0870056N","Public","Lycée polyvalent","123,9","84,6","120,6","",""
"2019","2018","0880019T","Public","Lycée général et technologique","101,9","","101,9","",""
"2019","2018","0880023X","Public","Lycée professionnel","","75,6","75,6","",""
"2019","2018","0880055G","Public","Lycée général et technologique","101,7","","101,7","",""
"2019","2018","0880064S","Public","Lycée professionnel","","85,1","85,1","",""
"2019","2018","0881140L","Public","Lycée professionnel","","79,7","79,7","",""
"2019","2018","0881370L","Public","Lycée professionnel","","69,1","69,1","",""
"2019","2018","0881664F","Public","Lycée polyvalent","104,1","90,2","92,7","",""
"2019","2018","0890032B","Public","Lycée polyvalent","101,6","80,6","98,5","",""
"2019","2018","0890053Z","Public","Lycée professionnel","","84,4","84,4","",""
"2019","2018","0900019G","Public","Lycée professionnel","","75,0","75,0","",""
"2019","2018","0910622G","Public","Lycée polyvalent","115,5","93,8","113,5","",""
"2019","2018","0910626L","Public","Lycée général et technologique","149,8","","149,8","",""
"2019","2018","0910628N","Public","Lycée professionnel","","94,9","94,9","",""
"2019","2018","0910631S","Public","Lycée professionnel","","85,8","85,8","",""
"2019","2018","0910755B","Public","Lycée professionnel","","85,8","85,8","",""
"2019","2018","0910975R","Public","Lycée polyvalent","113,0","94,0","108,9","",""
"2019","2018","0911021R","Public","Lycée général et technologique","119,7","","119,7","",""
"2019","2018","0911037H","Public","Lycée professionnel","","93,2","93,2","",""
"2019","2018","0911632E","Public","Lycée général et technologique","130,7","","130,7","",""
"2019","2018","0911938M","Public","Lycée général et technologique","135,7","","135,7","",""
"2019","2018","0920142E","Public","Lycée général et technologique","145,9","","145,9","",""
