"annee","uai","secteur","presents_toutes_series","taux_de_reussite_toutes_series","taux_de_mentions_toutes_series","effectif_de_seconde","effectif_de_premiere","effectif_de_terminale","taux_d_acces_2nde_bac","valeur_ajoutee_du_taux_de_reussite_toutes_series","valeur_ajoutee_du_taux_d_acces_2nde_bac","valeur_ajoutee_du_taux_de_mentions_toutes_series"
"2020","0220083W","Public","88","0,99","0,72","84","85","87","0,8","0,06","0,01","0,1"
"2020","0221866J","Privé","65","0,94","0,69","55","44","46","0,63","-0,01","-0,15","0,01"
"2020","0240012H","Public","20","0,75","0,45","13","12","18","0,62","-0,12","-0,05","-0,05"
"2020","0240028A","Public","140","0,82","0,51","142","147","133","0,63","-0,11","-0,15","-0,11"
"2020","0250001R","Public","111","0,95","0,67","141","143","113","0,82","0,04","0,1","0,1"
"2020","0251079M","Public","98","0,87","0,45","134","128","117","0,71","-0,03","-0,04","-0,1"
"2020","0251112Y","Privé","53","0,92","0,53","51","53","53","0,87","-0,04","0,07","-0,21"
"2020","0251592V","Privé","41","1,0","0,73","49","48","47","0,82","0,06","0,03","0,08"
"2020","0251671F","Public","42","1,0","0,88","46","47","41","0,87","0,09","0,11","0,28"
"2020","0260044G","Public","85","0,93","0,64","108","111","86","0,83","0,01","0,11","0,02"
"2020","0260113G","Public","144","0,86","0,53","165","160","147","0,72","-0,04","0,0","-0,05"
"2020","0261100E","Public","76","0,92","0,54","86","90","86","0,79","0,0","0,03","-0,04"
"2020","0270026G","Public","121","0,96","0,72","135","139","122","0,89","0,04","0,13","0,11"
"2020","0270051J","Public","148","0,91","0,7","167","166","154","0,76","-0,02","-0,01","0,06"
"2020","0271081D","Privé","25","1,0","0,6","24","31","22","0,82","0,06","0,03","-0,03"
"2020","0271268G","Public","166","0,96","0,68","140","143","167","0,86","0,05","0,1","0,1"
"2020","0290044R","Public","128","0,92","0,71","131","140","131","0,84","-0,02","0,04","0,07"
"2020","0290200K","Privé","73","0,97","0,74","69","86","85","0,78","0,01","-0,01","0,03"
"2020","0300109F","Privé","79","0,87","0,67","64","64","71","0,73","-0,09","-0,05","-0,03"
"2020","0300127A","Privé","143","0,97","0,79","144","152","139","0,84","0,04","0,05","0,16"
"2020","0310033T","Public","71","0,87","0,58","86","81","76","0,46","-0,07","-0,3","-0,06"
"2020","0310040A","Public","103","0,83","0,43","84","108","105","0,65","-0,09","-0,11","-0,15"
"2020","0310052N","Public","118","0,87","0,53","125","120","135","0,71","0,01","0,01","0,03"
"2020","0310053P","Public","99","0,83","0,6","106","122","102","0,6","-0,07","-0,1","0,05"
"2020","0310091F","Public","162","0,9","0,62","181","168","154","0,75","-0,03","-0,01","-0,02"
"2020","0311971Z","Privé","17","0,88","0,35","17","18","19","0,68","-0,06","-0,07","-0,32"
"2020","0312191N","Privé","47","1,0","0,81","41","53","50","0,77","0,04","-0,05","0,13"
"2020","0330031E","Public","131","0,95","0,7","129","127","123","0,85","0,0","0,02","-0,04"
"2020","0330033G","Public","69","0,81","0,48","78","79","78","0,48","-0,09","-0,25","-0,06"
"2020","0330102G","Public","71","0,92","0,63","75","77","70","0,87","0,0","0,09","0,03"
"2020","0330119A","Public","98","0,85","0,51","115","120","96","0,68","-0,07","-0,1","-0,1"
"2020","0331548D","Privé","130","0,97","0,74","108","139","128","0,82","0,01","0,0","0,04"
"2020","0331668J","Public","136","0,88","0,47","149","150","138","0,61","-0,03","-0,15","-0,11"
"2020","0331882S","Public","93","0,89","0,59","103","97","93","0,62","-0,04","-0,13","-0,07"
"2020","0332496J","Privé","35","0,97","0,51","23","39","42","0,63","0,03","-0,15","-0,14"
"2020","0332550T","Privé","86","0,97","0,64","65","100","91","0,8","0,01","-0,01","-0,07"
"2020","0340012D","Public","111","0,92","0,62","138","131","116","0,8","0,04","0,11","0,09"
"2020","0340030Y","Public","98","0,92","0,46","107","100","85","0,68","0,01","-0,08","-0,11"
"2020","0340991T","Privé","56","0,96","0,86","58","57","56","0,9","0,0","0,08","0,23"
