"uai","coordonnee_x","coordonnee_y","latitude","longitude"
"0741285V","943475,3","6539792,0","45,91421548997068","6,14189482127236"
"0382893N","877258,3","6478652,7","45,38439566004932","5,265339908428091"
"0731040J","927229,9","6513759,1","45,68557825687751","5,920039597673328"
"0070069M","826742,6","6405353,1","44,73574359791873","4,600979592113581"
"0740006E","942658,9","6542399,4","45,93796842252024","6,132704943451557"
"0261397C","842581,5","6456625,8","45,19419133466614","4,815877923811152"
"0370053G","524687,4","6704841,9","47,42068906469915","0,6743997339382635"
"0631074A","707006,0","6519080,0","45,77129443520288","3,09015039796733"
"0761708U","555577,0","6911850,0","49,28993247243845","1,0149605949793865"
"0692866R","845222,8","6517333,5","45,74013626899264","4,867789437654132"
"0750699C","647140,5","6863077,9","48,86556113280372","2,279451689823514"
"0560027A","222389,1","6757606,4","47,74509177644303","-3,380330093188583"
"0440035Z","358048,6","6691817,4","47,23850083080752","-1,5225893821168477"
"0141157G","430399,4","6915512,2","49,28228980068509","-0,7059800209977221"
"0220107X","231697,5","6811511,1","48,23534728921208","-3,313969612092281"
"0912117G","658378,6","6838357,0","48,644051039551854","2,4350475723268343"
"0771237B","678643,1","6863746,9","48,87339235418128","2,708835438362456"
"0541286E","913678,4","6910198,8","49,2557012349787","5,935350365117178"
"0830184Z","981901,6","6269146,3","43,46544567980041","6,48317941379274"
"0851346B","329182,0","6650758,2","46,854039759316905","-1,8699884884018496"
"0755843U","651146,8","6865561,9","48,88821536735607","2,333774738186778"
"0320036R","545370,5","6281187,5","43,61286206268969","1,0849200320288808"
"0721493G","490942,8","6769570,4","47,99311832347871","0,1966327867834134"
"0830025B","954556,4","6229386,5","43,1183869272029","6,126236055918523"
"0440056X","320359,5","6699226,3","47,28457567676983","-2,026010319334968"
"0590181B","714671,5","7064957,9","50,6812808376292","3,2072199693145738"
"0753947H","647055,7","6861846,3","48,85447862868612","2,278449219026048"
"0950753C","649625,8","6874382,4","48,9674146057145","2,3119853896147435"
"0750796H","646622,7","6862605,1","48,86126664977621","2,2724531358357214"
"9730235T","164065,3","606986,3","5,483738878440353","-54,03134916195046"
"9720823M","698584,0","1622013,0","14,664364787989264","-61,15596009927617"
"0840046U","844354,0","6339341,5","44,13823516010202","4,804318544247096"
"0590207E","720172,9","7028005,4","50,34945080014521","3,2830501908910894"
"9741207U","339980,5","7644045,8","-21,298387733913355","55,45734818298069"
"0320737C","504129,5","6258435,7","43,39806236694693","0,5830606033868354"
"0370888P","523996,9","6696659,0","47,3468747310573","0,6684495155026476"
"0121438Y","666334,1","6361201,7","44,34903606484404","2,577670181020592"
"0731248K","927627,5","6503666,5","45,594626101194834","5,920349846070932"
"0460026D","612497,8","6418254,9","44,85794344832042","1,8923295176570007"
"0040003G","990800,5","6372252,3","44,38877785168884","6,651860207203217"
"0570123Z","997680,8","6898402,8","49,11621839038487","7,07918067577061"
"0130157A","864692,9","6274174,1","43,54751272510955","5,037420365119602"
"0572340J","984338,4","6905378,4","49,18491326568235","6,901370012269546"
"0752937K","647924,4","6864346,5","48,87703315716349","2,289981264158404"
"0771232W","677018,1","6811782,2","48,40592416746884","2,6894676570879184"
"0542208G","932065,5","6844936,0","48,66290099025871","6,151910547682995"
"0921166T","645292,3","6852186,7","48,7674608290212","2,255659069403765"
"0133931C","891349,7","6253229,9","43,35248128251459","5,359269984052946"
"0850146X","328574,6","6649227,9","46,83995015996099","-1,876705629010024"
"9740471U","366889,4","7672650,8","-21,0421710017335","55,71893326885004"
"0312939B","564838,9","6263114,5","43,45427229243786","1,3306893943397458"
"0693446W","841687,4","6515936,5","45,728303630485776","4,821920579586815"
"9741233X","366009,2","7671868,4","-21,04917460179576","55,71040291152662"
"0511645L","769593,7","6906721,2","49,25635997157705","3,955840352561845"
"0312290W","566817,7","6271487,3","43,52995921065976","1,3529648540107675"
"0941943B","659637,4","6855496,3","48,79828270934197","2,4505145794831087"
"0133406G","912563,0","6235958,0","43,19118156746861","5,6135939615362815"
"0492148U","434160,2","6710498,0","47,4413691161452","-0,5285097047395081"
"0941968D","664022,2","6849403,0","48,743740806816575","2,510720424025152"
"7200073S","1228086,1","6199059,6","42,69710197171048","9,444053288894828"
"0570144X","931431,5","6892074,9","49,08671162206412","6,168989728171421"
"0290063L","146636,2","6836265,1","48,39042762250076","-4,4860602260254"
"0111048E","680375,1","6231398,0","43,18154068394959","2,758783612341364"
"0800013E","651448,2","6976004,7","49,8809083837674","2,3250102852883474"
"0753943D","647091,9","6862634,4","48,86156884589767","2,2788444527680047"
"9760283D","529797,6","8585090,9","-12,7988663815307","45,27456038677822"
"0030026M","667515,1","6581732,5","46,3347260637337","2,5776894520201377"
"0570279U","973110,1","6863283,6","48,81170748815672","6,720349727354875"
"0941719H","654806,9","6855077,9","48,79419945658507","2,384800366651888"
"0420033H","783065,4","6549943,4","46,044164960693","4,074189363998615"
"0320039U","504023,4","6283330,9","43,62191142393892","0,5723105441650629"
