Rentrée scolaire;Académie;Code du département;Département;UAI;Nom de l'établissment;Code INSEE de la commune;Nom de la commune;Secteur;Type de lycée;Effectifs voie GT;Effectifs voie PRO;Effectifs Ensemble GT-PRO;IPS voie GT;IPS voie PRO;IPS Ensemble GT-PRO;Ecart-type de l'IPS voie GT;Ecart-type de l'IPS voie PRO
2022-2023;LYON;001;AIN;0010001W;LYCEE PROFESSIONNEL ALEXANDRE BERARD LYCEE DES METIERS DE L ENERGIE ET DE L HABITAT;01004;AMBERIEU EN BUGEY;public;LP;;583.0;583.0;;91.5;91.5;;27.2
2022-2023;LYON;001;AIN;0010006B;LYCEE POLYVALENT SAINT EXUPERY LYCEE DES METIERS DE L HOTELLERIE ET DES SERVICES LYCEE DES METIERS DES ENERGIES DU BATIMENT;01033;VALSERHONE;public;LPO;556.0;334.0;890.0;99.2;84.2;93.6;33.3;24.8
2022-2023;LYON;001;AIN;0010013J;LYCEE GENERAL LALANDE;01053;BOURG EN BRESSE;public;LEGT;1028.0;;1028.0;123.0;;123.0;34.7;
2022-2023;LYON;001;AIN;0010016M;LYCEE POLYVALENT JOSEPH MARIE CARRIAT;01053;BOURG EN BRESSE;public;LPO;1362.0;335.0;1697.0;111.7;98.8;109.2;32.9;30.2
2022-2023;LYON;001;AIN;0010069V;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE ENSEMBLE SCOLAIRE LAMARTINE;01034;BELLEY;privé sous contrat;LEGT;250.0;;250.0;115.8;;115.8;27.5;
2022-2023;LYON;001;AIN;0010814E;LYCEE PROFESSIONNEL PRIVE SAINT JOSEPH;01249;MIRIBEL;privé sous contrat;LP;;170.0;170.0;;112.0;112.0;;26.0
2022-2023;LYON;001;AIN;0010878Z;LYCEE POLYVALENT PRIVE JEANNE D ARC;01071;CESSY;privé sous contrat;LPO;383.0;180.0;563.0;136.7;102.9;125.9;25.8;28.7
2022-2023;LYON;001;AIN;0011010T;LYCEE PROFESSIONNEL DU BUGEY;01034;BELLEY;public;LP;;174.0;174.0;;82.1;82.1;;21.9
2022-2023;LYON;001;AIN;0011457D;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SAINT JOSEPH;01283;OYONNAX;privé sous contrat;LEGT;40.0;;40.0;114.0;;114.0;31.1;
2022-2023;AMIENS;002;AISNE;0020034B;LYCEE POLYVALENT PIERRE MECHAIN;02408;LAON;public;LPO;600.0;294.0;894.0;111.2;84.0;102.2;34.1;24.2
