pays,population_milliers_hab,evolution_population_pct,consommation_volaille_pct,tdi_pct,disponibilite_kg_p_an,taux_croissance_pct,revenu_par_habitant_usd,indice_stabilite_politique
Afghanistan,36296.113,3.29,0.42,50.88,1.53,4.86579,537.126294,-2.8
Afrique du Sud,57009.756,1.4,6.41,24.27,35.69,17.7038,6537.504869,-0.28
Albanie,2884.169,-0.45,1.29,74.51,16.36,9.765944,4532.791976,0.38
Algérie,41389.189,1.72,0.8,0.72,6.38,6.287893,4081.775086,-0.92
Allemagne,82658.409,0.12,2.06,49.24,19.47,6.441277,45734.557505,0.59
Angola,29816.766,3.57,1.85,86.83,10.56,20.766647,3791.443852,-0.38
Antigua-et-Barbuda,95.426,1.32,8.47,100.0,54.1,2.185223,15667.510958,0.75
Arabie saoudite,33101.179,2.76,7.93,54.37,43.36,6.768181,20451.017286,-0.64
Argentine,43937.14,1.03,5.44,0.41,42.24,15.442348,14236.884208,0.17
Arménie,2944.791,-0.22,1.59,76.09,16.06,9.305043,4184.835842,-0.62
Australie,24584.62,1.52,5.25,1.29,47.65,8.013322,55633.45264,0.9
Autriche,8819.901,0.54,1.95,61.11,18.2,5.483879,46984.806575,1.05
Azerbaïdjan,9845.32,1.13,1.65,20.61,13.11,7.921474,3904.220947,-0.75
Bahamas,381.755,1.44,7.44,80.0,43.17,4.419245,30065.911483,0.99
Bangladesh,159685.424,1.31,0.31,0.0,1.5,9.487237,1847.62568,-1.26
Barbade,286.232,0.3,7.6,11.76,46.78,3.078467,17041.773858,0.97
Bélarus,9450.231,-0.24,2.87,6.33,27.98,14.671728,5425.470757,-0.05
Belgique,11419.748,0.62,1.24,233.1,12.65,5.680656,44567.104136,0.43
Belize,375.769,2.46,4.59,0.0,25.69,1.230566,5687.517007,0.04
Bénin,11175.198,2.9,2.01,87.23,14.4,7.449328,1083.18161,0.03
Bolivie (État plurinational de),11192.855,1.68,6.47,0.19,36.0,10.511015,3202.604089,-0.28
Bosnie-Herzégovine,3351.525,-0.67,1.69,15.87,16.7,6.903897,5211.893837,-0.35
Botswana,2205.08,1.77,0.6,37.5,3.39,6.779399,6136.369105,1.02
Brésil,207833.823,1.01,6.23,0.03,48.03,14.914653,9711.697669,-0.47
Bulgarie,7102.444,-0.7,3.04,63.53,22.06,9.727448,8056.92041,0.33
Burkina Faso,19193.234,3.0,0.46,0.0,2.27,9.924132,684.484364,-0.93
Cabo Verde,537.498,1.34,3.23,92.31,17.62,6.420607,3025.033509,0.77
Cambodge,16009.409,1.63,0.46,26.32,2.34,10.793179,1313.916887,0.09
Cameroun,24566.073,2.74,0.46,0.0,3.16,6.755152,1453.605425,-1.1
Canada,36732.095,1.07,4.22,12.67,39.02,7.935525,44551.243918,1.1
Chili,18470.439,1.11,5.38,20.61,36.36,10.619121,14460.646434,0.42
Chine - RAS de Hong-Kong,7306.322,0.61,6.89,338.43,53.51,6.361267,47724.637597,0.83
Chine - RAS de Macao,622.585,2.19,4.68,88.46,34.47,11.914871,70300.937271,1.43
"Chine, continentale",1421021.791,0.56,1.27,2.5,12.33,9.589146,8717.69827,-0.23
"Chine, Taiwan Province de",23674.546,0.43,5.18,20.0,33.17,3.08,22698.0,-0.04
Chypre,1179.678,1.3,3.73,36.84,25.08,9.102202,18410.134329,0.54
Colombie,48909.839,1.26,4.07,4.76,31.99,10.274451,6339.886355,-0.77
Congo,5110.695,2.91,3.52,93.69,21.53,8.566912,1795.115841,-0.53
Costa Rica,4949.954,1.3,3.82,11.56,26.52,2.83621,11484.727761,0.61
Côte d'Ivoire,24437.47,2.37,0.39,10.77,2.53,7.555465,2014.324313,-1.09
Croatie,4182.857,-0.35,1.06,35.29,10.77,7.493395,13365.33749,0.69
Cuba,11339.254,0.1,2.81,91.5,23.72,5.998687,8423.922752,0.65
Danemark,5732.274,0.41,3.01,79.64,28.98,6.06968,59155.35262,0.87
Djibouti,944.099,1.62,0.74,100.0,2.68,5.662606,2778.46767,-0.74
Dominique,71.458,0.16,4.35,100.0,35.19,-9.636719,6896.64424,1.2
Égypte,96442.591,2.01,1.73,8.96,12.96,-27.795932,1879.897311,-1.42
El Salvador,6388.126,0.48,3.54,10.67,20.43,3.25636,3764.619843,-0.26
Émirats arabes unis,9487.203,6.58,6.92,111.89,43.47,7.999087,42828.65341,0.62
Équateur,16785.361,1.67,3.42,0.0,19.31,4.360883,6100.410171,-0.07
Espagne,46647.428,0.75,3.24,13.59,30.39,6.532538,28201.404061,0.28
Estonie,1319.39,-0.31,2.06,70.0,21.26,11.921513,19932.665237,0.65
Eswatini,1124.805,0.68,1.17,25.0,6.46,15.3435,3566.576151,-0.27
États-Unis d'Amérique,325084.756,0.83,5.62,0.67,55.68,4.184149,60297.391594,0.29
Éthiopie,106399.924,2.82,0.04,6.67,0.13,6.426252,705.544502,-1.68
Fédération de Russie,145530.082,-0.03,3.49,4.96,30.98,23.293875,10533.649822,-0.64
Fidji,877.459,0.48,3.93,11.54,28.02,8.584707,5364.839418,0.62
Finlande,5511.371,0.35,1.7,12.03,18.76,6.250864,46435.935525,1.08
France,64842.509,0.54,2.43,28.83,22.9,5.012186,41372.562733,0.28
Gabon,2064.823,3.08,4.32,95.0,29.33,6.459129,6534.800237,-0.1
Gambie,2213.889,3.09,1.03,88.89,3.53,2.569455,620.13502,-0.08
Géorgie,4008.716,-0.48,2.51,75.0,15.27,7.271943,4095.347973,-0.37
Ghana,29121.465,2.44,0.85,71.56,7.24,7.545343,1900.205463,0.09
Grèce,10569.45,-0.29,1.62,26.69,15.32,3.537188,18596.921371,-0.07
Grenade,110.874,0.45,9.26,87.5,45.7,6.032658,8447.112851,1.01
