zone,evolution_population_%,part_conso_volailles_%,importations_volailles_kt,tas_volailles_%,croissance_annuelle_%,revenu_par_habitant_usd,indice_stabilite_politique
Arménie,-0.22,1.488498865433087,35.0,93.69620038432154,9.305043,4184.835842,-0.62
Afghanistan,3.29,0.4483676614824156,29.0,81.86981640379571,4.86579,537.126294,-2.8
Albanie,-0.45,0.9795482204873994,20.0,92.14481389849611,9.765944,4532.791976,0.38
Algérie,1.72,0.9239618190546772,2.0,68.87915183697471,6.287893,4081.775086,-0.92
Andorre,0.94,2.341612742942322,16.0,93.74845861184401,3.645145,40632.206414,1.42
Angola,3.57,1.705479738578917,277.0,90.84980193578373,20.766647,3791.443852,-0.38
Antigua-et-Barbuda,1.32,9.209799226376864,7.0,42.606744188478466,2.185223,15667.510958,0.75
Argentine,1.03,5.740452547786633,8.0,138.25981547149993,15.442348,14236.884208,0.17
Australie,1.52,5.6643536085344754,16.0,142.2074617678565,8.013322,55633.45264,0.9
Autriche,0.54,2.0646759749141865,110.0,93.61561347227325,5.483879,46984.806575,1.05
Bahamas,1.44,8.21287779237845,26.0,70.39536832788454,4.419245,30065.911483,0.99
Bahreïn,4.91,2.341612742942322,16.0,93.74845861184401,10.046698,22984.116619,-0.96
Barbade,0.3,7.816727797486621,2.0,73.42680132907002,3.078467,17041.773858,0.97
Bangladesh,1.31,0.33686268810941294,0.0,87.3082425880054,9.487237,1847.62568,-1.26
Bermudes,-0.2,2.341612742942322,16.0,93.74845861184401,3.513146,114601.928092,1.0
Bhoutan,1.37,2.341612742942322,16.0,93.74845861184401,13.496636,2959.239214,1.12
Bolivie (État plurinational de),1.68,7.165308037581829,1.0,99.30080028476038,10.511015,3202.604089,-0.28
Botswana,1.77,0.5885320329577938,3.0,65.87156919519609,6.779399,6136.369105,1.02
Brésil,1.01,6.2063932243384885,3.0,111.8551780422941,14.914653,9711.697669,-0.47
Aruba,0.85,2.341612742942322,16.0,93.74845861184401,3.646332,27711.355779,0.03
Belize,2.46,4.710537472325592,0.0,114.07048786606447,1.230566,5687.517007,0.04
Îles Salomon,2.58,0.7206687806284232,5.0,118.04918589617812,6.546216,2237.997123,0.2
Brunéi Darussalam,1.41,2.341612742942322,16.0,93.74845861184401,6.384936,29861.266582,1.16
Bulgarie,-0.7,3.155055926883086,108.0,139.00986739601328,9.727448,8056.92041,0.33
Myanmar,0.78,5.4303432682694135,0.0,104.34425122427835,1.849354,1297.857753,-1.08
Burundi,3.16,0.09068583886214665,0.0,98.78510738108851,12.550477,295.780939,-2.01
Cameroun,2.74,0.44854008827038916,0.0,96.21227203563211,6.755152,1453.605425,-1.1
Canada,1.07,4.280453135768435,182.0,131.67231194552107,7.935525,44551.243918,1.1
Cabo Verde,1.34,3.214400514304082,12.0,67.10217882731297,6.420607,3025.033509,0.77
Îles Caïmanes,2.35,2.341612742942322,16.0,93.74845861184401,5.234035,54425.988298,0.03
République centrafricaine,1.39,0.4799239102455029,5.0,97.78377192946901,13.55225,435.871219,-2.01
Sri Lanka,0.68,1.7394584241971485,0.0,78.37046449298319,6.100726,3957.51311,-0.07
Tchad,3.48,0.11183930928042587,1.0,98.64281297290809,2.122355,873.288412,-1.29
Chili,1.11,5.964590108667375,149.0,107.14889619877414,10.619121,14460.646434,0.42
