Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"MK","Indicateurs macro","2","Afghanistan","6110","Valeur US $","22008","Produit Intérieur Brut","2010","2010","Millions d’USD","14698.88968","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","2","Afghanistan","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2010","2010","US$","521.428191","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","2","Afghanistan","6110","Valeur US $","22008","Produit Intérieur Brut","2011","2011","Millions d’USD","17350.69495","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","2","Afghanistan","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2011","2011","US$","593.203249","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","2","Afghanistan","6110","Valeur US $","22008","Produit Intérieur Brut","2012","2012","Millions d’USD","19136.49934","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","2","Afghanistan","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2012","2012","US$","628.116539","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","2","Afghanistan","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","Millions d’USD","19621.80246","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","2","Afghanistan","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2013","2013","US$","622.100518","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","2","Afghanistan","6110","Valeur US $","22008","Produit Intérieur Brut","2014","2014","Millions d’USD","19550.70257","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","2","Afghanistan","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2014","2014","US$","597.584579","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","2","Afghanistan","6110","Valeur US $","22008","Produit Intérieur Brut","2015","2015","Millions d’USD","18713.04841","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","2","Afghanistan","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2015","2015","US$","554.403216","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","2","Afghanistan","6110","Valeur US $","22008","Produit Intérieur Brut","2016","2016","Millions d’USD","18019.55818","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","2","Afghanistan","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2016","2016","US$","520.252064","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","2","Afghanistan","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","18896.35202","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","2","Afghanistan","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","US$","530.149831","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","2","Afghanistan","6110","Valeur US $","22011","Revenu national brut","2010","2010","Millions d’USD","14724.78163","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","2","Afghanistan","6119","Valeur US $ par habitant","22011","Revenu national brut","2010","2010","US$","522.346682","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","2","Afghanistan","6110","Valeur US $","22011","Revenu national brut","2011","2011","Millions d’USD","17331.77617","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","2","Afghanistan","6119","Valeur US $ par habitant","22011","Revenu national brut","2011","2011","US$","592.556434","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","2","Afghanistan","6110","Valeur US $","22011","Revenu national brut","2012","2012","Millions d’USD","19166.77512","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","2","Afghanistan","6119","Valeur US $ par habitant","22011","Revenu national brut","2012","2012","US$","629.11028","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","2","Afghanistan","6110","Valeur US $","22011","Revenu national brut","2013","2013","Millions d’USD","19690.26208","X","Ciffre de sources internationales",""
