Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"MK","Indicateurs macro","2","Afghanistan","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","US$","530.149831","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","2","Afghanistan","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2017","2017","%","4.86579","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","2","Afghanistan","6119","Valeur US $ par habitant","22011","Revenu national brut","2017","2017","US$","537.126294","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","2","Afghanistan","6129","Croissance annuelle US$","22011","Revenu national brut","2017","2017","%","5.197452","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","202","Afrique du Sud","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","US$","6723.928582","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","202","Afrique du Sud","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2017","2017","%","17.7038","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","202","Afrique du Sud","6119","Valeur US $ par habitant","22011","Revenu national brut","2017","2017","US$","6537.504869","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","202","Afrique du Sud","6129","Croissance annuelle US$","22011","Revenu national brut","2017","2017","%","17.449893","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","3","Albanie","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","US$","4521.752219","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","3","Albanie","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2017","2017","%","9.765944","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","3","Albanie","6119","Valeur US $ par habitant","22011","Revenu national brut","2017","2017","US$","4532.791976","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","3","Albanie","6129","Croissance annuelle US$","22011","Revenu national brut","2017","2017","%","8.275484","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","4","Algérie","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","US$","4134.936054","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","4","Algérie","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2017","2017","%","6.287893","X","Ciffre de sources internationales",""
